,Date,Open,High,Low,Close,Volume
252,04:12,178.17,178.21,178.1319,178.1799,71792
253,04:13,178.17,178.3,178.17,178.21,99841
254,04:14,178.2,178.25,178.075,178.12,64877
255,04:15,178.12,178.13,178.0201,178.0898,71653
256,04:16,178.085,178.13,178.05,178.095,69945
257,04:17,178.1,178.13,178.07,178.13,73319
258,04:18,178.12,178.14,178.09,178.0979,59424
259,04:19,178.09,178.11,178.05,178.0879,86107
260,04:20,178.08,178.209,178.075,178.1999,83293
261,04:21,178.19,178.23,178.12,178.14,105724
262,04:22,178.13,178.16,178.07,178.085,61766
263,04:23,178.085,178.15,178.07,178.085,53642
264,04:24,178.085,178.17,178.085,178.17,48774
265,04:25,178.165,178.23,178.16,178.23,91063
266,04:26,178.24,178.35,178.24,178.29,133476
267,04:27,178.29,178.385,178.29,178.37,103429
268,04:28,178.36,178.43,178.36,178.3933,109191
269,04:29,178.39,178.42,178.35,178.36,50805
270,04:30,178.355,178.3999,178.266,178.2882,70846
271,04:31,178.2805,178.29,178.225,178.2591,64841
272,04:32,178.26,178.3,178.237,178.25,51818
273,04:33,178.2535,178.26,178.15,178.16,77234
274,04:34,178.1599,178.16,178.03,178.0425,100101
275,04:35,178.0413,178.0678,177.965,178.0002,110427
276,04:36,178.01,178.1,177.99,178.065,87952
277,04:37,178.065,178.08,177.97,177.97,80268
278,04:38,177.98,177.98,177.87,177.945,92699
279,04:39,177.945,178.02,177.945,177.99,60430
280,04:40,177.9995,178.06,177.99,178.045,71160
281,04:41,178.055,178.055,178.0006,178.012,61815
282,04:42,178.01,178.03,177.92,177.99,74692
283,04:43,177.9899,178.0515,177.9541,177.99,63975
284,04:44,177.995,178.08,177.9701,178.06,78821
285,04:45,178.05,178.14,178.05,178.0828,117873
286,04:46,178.085,178.15,178.065,178.065,110461
287,04:47,178.06,178.07,177.98,177.9868,76226
288,04:48,177.99,178.0109,177.98,177.99,55041
289,04:49,177.99,178.068,177.97,178.0588,76692
290,04:50,178.0592,178.0592,177.82,177.8786,100772
291,04:51,177.88,177.89,177.7902,177.845,76847
292,04:52,177.8476,177.8498,177.8,177.8,46858
293,04:53,177.805,177.815,177.7,177.76,109497
294,04:54,177.77,177.8354,177.749,177.825,76073
295,04:55,177.825,177.86,177.82,177.835,64646
296,04:56,177.8342,177.86,177.8,177.83,74707
297,04:57,177.83,177.83,177.64,177.765,169043
298,04:58,177.76,177.77,177.6501,177.72,63205
299,04:59,177.725,177.745,177.69,177.705,68050
300,05:00,177.71,177.76,177.61,177.6411,85811
301,05:01,177.65,177.7,177.64,177.6722,58642
302,05:02,177.67,177.78,177.67,177.735,87129
303,05:03,177.72,177.81,177.71,177.7888,58776
304,05:04,177.7856,177.84,177.7601,177.775,80411
305,05:05,177.77,177.77,177.67,177.69,68105
306,05:06,177.68,177.69,177.6386,177.6667,75326
307,05:07,177.665,177.7,177.66,177.68,41370
308,05:08,177.67,177.6742,177.63,177.67,46857
309,05:09,177.66,177.68,177.63,177.65,63981
310,05:10,177.6499,177.73,177.6499,177.685,59340
